SITE,DATE, HIGH_TEMP,LOW_TEMP,PHOTOPERIOD,WATER_DEPTH,WATER_TEMP,TOT_A_BUD,TOT_A_FLWR,TOT_A_FRT,TOT_T_BUD,TOT_T_FLWR,TOT_T_FRT
ZOO,43120,14,5,0.43,0,,0,0,0,0,0,0
ZOO,43126,20,7,0.43,0,,0,0,0,0,0,0
ZOO,43133,26,11,0.44,0,,0,0,0,0,0,0
ZOO,43141,26,12,0.46,0,,0,0,0,0,0,0
ZOO,43148,22,12,0.46,0,,0,0,0,0,0,0
ZOO,43154,16,3,0.47,6,15.5,0,0,0,0,0,0
ZOO,43159,16,6,0.48,8,16.1,0,0,0,0,0,0
ZOO,43166,28,14,0.49,7,13.5,0,0,0,0,0,0
ZOO,43176,22,12,0.5,8,15,0,0,0,0,0,0
ZOO,43182,28,14,0.51,6.5,25,0,0,0,0,0,0
ZOO,43188,29,16,0.52,7,25,0,0,0,0,0,0
ZOO,43196,27,11,0.53,10,19,0,0,0,0,0,0
ZOO,43202,29,13,0.54,9,25,0,0,0,0,0,0
ZOO,43209,28,13,0.55,8.5,23,0,0,0,0,0,0
ZOO,43218,36,20,0.56,9,26,0,0,0,0,0,0
ZOO,43224,34,21,0.57,8,23,0,0,0,0,0,0
ZOO,43232,32,19,0.58,6.5,28.5,0,0,0,0,0,0
ZOO,43238,34,19,0.58,,,0,0,0,0,0,0
ZOO,43246,34,20,0.59,,,0,0,0,0,0,0
ZOO,43251,38,23,0.59,6,28.5,0,0,0,0,0,0
ZOO,43259,42,27,0.6,9,30,8,6,0,0,0,0
ZOO,43267,27,23,0.6,11,30,8,0,0,22,4,0
ZOO,43272,42,28,0.6,10,30,13,0,0,6,0,0
ZOO,43280,39,27,0.6,,,12,3,5,0,0,0
ZOO,43286,46,33,0.6,10,36,0,0,0,0,0,0
ZOO,43294,39,29,0.59,,,0,0,0,0,0,0
ZOO,43300,41,31,0.59,6.5,35,0,0,0,0,0,0
ZOO,43308,43,31,0.58,11.5,33,0,0,0,0,0,0
DBG,43120,14,5,0.43,5.5,9.5,0,0,0,0,0,0
DBG,43126,14,5,0.43,5.5,9.16,0,0,0,0,0,0
DBG,43133,26,11,0.44,5.5,12.7,0,0,0,0,0,0
DBG,43141,26,12,0.46,5.5,10.5,0,0,0,0,0,0
